Nama Course,Informasi
Basic Cinema 4D : Workspace & Pembuatan Object,"Cinema 4D adalah aplikasi yang biasa digunakan untuk membuat 3D Model, Animasi, dan Motion Graphic yang dikembangkan oleh MAXON Computer. Pada free course ini kamu akan belajar bagaimana cara penggunaan aplikasi cinema 4D , dari mulai dasar hingga ke pembuatan object dan pengaturannya."
Basic Figma : Pembuatan UI Aplikasi Mobile,"Didalam free course ini, kamu akan mempelajari dasar dasar penggunaan aplikasi Figma , dan juga kamu akan diajarkan bagaimana membuat UI Design mockup sebuah aplikasi secara sederhana, setelah itu kamu juga akan diberi tahu bagaimana cara menggunakan template, hingga export menjadi sebuah mockup yang baik."
Basic SEO : Penjudulan & Hashtag,"Pada free course. Ini , kamu akan belajar mengenai SEO atau singkatan dari Search Engine Optimization adalah sebuah proses yang dilakukan agar konten kita, baik berupa website, postingan Instagram, post tiktok lebih mudah dicari dan didapatkan oleh banyak orang dengan mudah , kalua di youtube ada fitur trending, kalua di tiktok ada fitur fyp , di Instagram ada di fitur explore , nah bagaimana sih cara agar kita setidaknya masuk dalam kategori untuk masuk ke dalam fitur fitur tersebut, nah dalam free course ini , kita akan mempelajarinya Bersama sama."
Basic Editing Video Mobile : Inshot,"Pada free course ini akan dibahas silabus yang berisi tentang penggunaan Aplikasi Inshot, Untuk mengetahui cara menggunakan dan apa saja yang dapat diketahui jika ingin mengedit video melalui smartphone. Penggunaan Inshot sebagai aplikasi editing video mobile dengan penggunaannya yang memberi kemudahan dan ukuran file dari aplikasi yang terbilang sangat kecil. Dengan mempelajari course ini, diharapkan peserta bisa menguasai aplikasi inshot sebagai kebutuhan media sosial, dengan kemudahannya yang hanya menggunakan smartphone, dan bisa membantu pemula untuk bisa bercerita melalui video dengan cara praktis."
Pembuatan Game dengan RPG Maker,"Kelas ini berisi silabus-silabus seputar pembuatan game dengan RPG maker yang membantu anda memahami pembuatan game dengan RPG maker dengan mudah."
Basic Video Editing Adobe Premiere,"Pada free course ini akan dibahas silabus yang berisi tentang Basic Video Editing menggunakan aplikasi Adobe Premiere Pro CC. Penggunaan Adobe Premiere Pro CC sangat beragam sekali tergantung kreatifitas dalam ide editing video, dengan mempelajari course ini, diharapkan peserta bisa melakukan proses editing video sendiri tanpa harus memanggil jasa editor, bahkan bisa membuka jasa tersendiri."
Pembuatan Game Platformer 2 Dimensi,"Kelas ini berisi silabus-silabus seputar Pembuatan Game Platformer 2 Dimensi yang membantu anda memahami Pembuatan Game Platformer 2 Dimensi  dengan mudah."
Basic Editing Photo Mobile : Picsart,"Pada free course ini akan dibahas silabus yang berisi tentang penggunaan Aplikasi Mobile Photo Editing, Untuk mengetahui cara menggunakan dan apa saja yang dapat diketahui jika ingin mengedit foto melalui smartphone. Penggunaan Picsart sebagai aplikasi editing photo mobile dengan penggunaannya yang memberi kemudahan dan ukuran file dari aplikasi yang terbilang sangat kecil. Dengan mempelajari course ini, diharapkan peserta bisa menguasai aplikasi picsart sebagai kebutuhan media sosial, dan bisa membantu pemula maupun profesional untuk bisa bercerita melalui foto dengan cara praktis."
Basic Copywriting,"Pada free course ini akan dibahas silabus yang berisi tentang basic Copywriting. Memahami bagaimana pengaruh Copywriting yang besar pada skema keberhasilan bisnis yang sedang dijalankan. Copywriting bisa jadi salah satu unsur pemasaran yang paling sedikit diminati, paling sedikit mendapat perhatian. Namun copywriting justru sangat berpengaruh pada keberhasilan bisnis yang dijalankan. Bila Anda berkeinginan untuk membuka usaha / sedang mengevaluasi usaha yang sudah Anda jalankan, maka copywriting adalah suatu kewajiban yang harus Anda lakukan. Copywriting bahkan memiliki peranan yang penting didalam bidang content marketing. Dilansir dari laman Demand Metric, dengan menggunakan content marketing, maka Anda bisa memangkas biaya pemasaran sebanyak 62persen dan mampu menghasilkan leads yang lebih banyak. "
Basic Adobe Photoshop CC,"Pada free course ini akan dibahas silabus yang berisi tentang Basic Adobe Photoshop CC. Penggunaan Adobe Photoshop CC sangat beragam sekali tergantung kreatifitas dalam ide editing grafis dan foto dengan mempelajari course ini, diharapkan peserta bisa melakukan proses editing foto sendiri tanpa harus memanggil jasa editor, bahkan bisa membuka jasa tersendiri."
Master Class Video Editor,"Pada Course Ini Akan Dipelajari mengenai cara menjadi seorang video editor, dengan subset mengenai keamanan data, bagaimana cara backup data yang baik dan benar, menerapkan K3, serta berkomunikasi dengan baik antara editor, sutradara dll. Juga akan di ajarkan mengenai cara menambah relasi supaya bisa menambah client. Kemudian akan di pelajari editing video dari mulai install , import penambahan effects, transisi hingga rendering."
Master Class Design Graphic,"Pada Course ini anda akan belajar bagaimana cara menjadi graphic designer yang baik , mementingkan mutu , dan memiliki karakter yang baik, sehingga membuat client atau konsumen bisa percaya dan suka terhadap produk anda melalui brief yang baik, kemudian anda akan mempelajari bagaimana cara menambah relasi baik itu relasi yang baru dan vagaiman cara mempertahankan relasi yang sebelumnya, juga diajarkan bagaimana cara membuat sebuah portofolio yang sangat berguna untuk client melihat hasil karya anda."
Masterclass On Job Training : AR For Marketing Batch 1,"Pada Masterclass On Job Training ini akan dipelajari mengenai bagaimana kamu bisa memanfaatkan teknologi Augmented Reality untuk mengembangkan laju produk dan menggunakannya untuk campaign pada produk kamu, kemudian kamu akan belajar mengenai bagaimana membuat desain untuk diaplikasikan terhadap Aplikasi Spark AR studio yang nantinya kamu bisakan untuk filter instagram yang bisa diakses oleh seluruh pengguna instagram maupun facebook"
Masterclass On Job Training : UI/UX Design Batch 1,"UI / UX merupakan sebuah bidang yang mempelajari bidang Design , UI adalah mempelajari bagaimana sebuah tampilan bisa menarik dan baik , kemudian UX merupakan ilmu yang mempelajari bagaimana user bisa menggunakan desain itu dengan baik (User Experience)."
Masterclass On Job Training : Graphic Design Batch 1,"Graphic Design merupakan profesi yang memiliki ilmu mengenai semua yang berhubungan dengan design , komponennya ada banyak mulai dari teks , pixel , resolusi dan masih banyak lagi, di sisi lain kamu harus mengetahui bagaimana graphic design itu bekerja mulai dari bagaimana cara berkomunikasi dll"
Masterclass On Job Training : Video Editor Batch 1,"Video Editor merupakan sebuah profesi dimana kamu harus memiliki ketelitian , dan kesabaran yang ekstra tinggi karena pada saat melakukan editing video kamu dituntut harus melakukan pekerjaan dengan baik dan tanpa kesalahan sedikitpun, jika terlihat maka dampaknya akan buruk, oleh karena itu pada masterclass on job training ini , akan dibahas mengenai bagaimana cara menjadi seorang Video Editor yang baik dan benar"